,지수
532,97.338
533,97.338
534,97.338
535,97.338
536,97.338
537,97.338
538,97.338
539,97.338
540,97.338
541,97.338
542,97.338
543,97.338
544,97.338
545,97.338
546,97.338
547,97.499
548,97.499
549,97.499
550,97.499
551,97.499
552,97.499
553,97.499
554,97.499
555,97.499
556,97.499
557,97.499
558,97.499
559,97.499
560,97.499
561,97.499
562,97.499
563,97.499
564,97.499
565,97.499
566,97.499
567,97.499
568,97.499
569,97.499
570,97.499
571,97.499
572,97.499
573,97.499
574,97.499
575,97.499
576,97.499
577,97.499
578,98.058
579,98.058
580,98.058
581,98.058
582,98.058
583,98.058
584,98.058
585,98.058
586,98.058
587,98.058
588,98.058
589,98.058
590,98.058
591,98.058
592,98.058
593,98.058
594,98.058
595,98.058
596,98.058
597,98.058
598,98.058
599,98.058
600,98.058
601,98.058
602,98.058
603,98.058
604,98.058
605,98.058
606,98.058
607,98.058
608,98.058
609,98.172
610,98.172
611,98.172
612,98.172
613,98.172
614,98.172
615,98.172
616,98.172
617,98.172
618,98.172
619,98.172
620,98.172
621,98.172
622,98.172
623,98.172
624,98.172
625,98.172
626,98.172
627,98.172
628,98.172
629,98.172
630,98.172
631,98.172
632,98.172
633,98.172
634,98.172
635,98.172
636,98.172
637,98.172
638,98.172
639,98.077
640,98.077
641,98.077
642,98.077
643,98.077
644,98.077
645,98.077
646,98.077
647,98.077
648,98.077
649,98.077
650,98.077
651,98.077
652,98.077
653,98.077
654,98.077
655,98.077
656,98.077
657,98.077
658,98.077
659,98.077
660,98.077
661,98.077
662,98.077
663,98.077
664,98.077
665,98.077
666,98.077
667,98.077
668,98.077
669,98.077
670,97.347
671,97.347
672,97.347
673,97.347
674,97.347
675,97.347
676,97.347
677,97.347
678,97.347
679,97.347
680,97.347
681,97.347
682,97.347
683,97.347
684,97.347
685,97.347
686,97.347
687,97.347
688,97.347
689,97.347
690,97.347
691,97.347
692,97.347
693,97.347
694,97.347
695,97.347
696,97.347
697,97.347
698,97.347
699,97.347
700,97.698
701,97.698
702,97.698
703,97.698
704,97.698
705,97.698
706,97.698
707,97.698
708,97.698
709,97.698
710,97.698
711,97.698
712,97.698
713,97.698
714,97.698
715,97.698
716,97.698
717,97.698
718,97.698
719,97.698
720,97.698
721,97.698
722,97.698
723,97.698
724,97.698
725,97.698
726,97.698
727,97.698
728,97.698
729,97.698
730,97.698
731,98.106
732,98.106
733,98.106
734,98.106
735,98.106
736,98.106
737,98.106
738,98.106
739,98.106
740,98.106
741,98.106
742,98.106
743,98.106
744,98.106
745,98.106
746,98.106
747,98.106
748,98.106
749,98.106
750,98.106
751,98.106
752,98.106
753,98.106
754,98.106
755,98.106
756,98.106
757,98.106
758,98.106
759,98.106
760,98.106
761,98.106
762,98.855
763,98.855
764,98.855
765,98.855
766,98.855
767,98.855
768,98.855
769,98.855
770,98.855
771,98.855
772,98.855
773,98.855
774,98.855
775,98.855
776,98.855
777,98.855
778,98.855
779,98.855
780,98.855
781,98.855
782,98.855
783,98.855
