구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2016년04월12일,1720.35,1361.38,1120.72,759.62
2016년04월13일,1720.66,1361.19,1120.38,759.17
2016년04월14일,1719.04,1361.15,1120.72,758.93
2016년04월15일,1718.52,1361.30,1120.93,758.51
2016년04월16일,1718.89,1361.59,1120.85,758.68
2016년04월17일,1717.04,1361.59,1120.65,758.80
2016년04월18일,1717.84,1361.44,1121.16,758.89
2016년04월19일,1718.85,1361.56,1121.43,759.10
2016년04월20일,1719.51,1361.42,1121.30,758.81
2016년04월21일,1720.98,1361.30,1121.00,759.10
2016년04월22일,1720.61,1361.23,1121.24,758.84
2016년04월23일,1721.68,1361.25,1121.06,758.59
2016년04월24일,1722.25,1361.21,1120.64,758.11
2016년04월25일,1721.09,1361.16,1121.18,758.17
2016년04월26일,1720.17,1361.03,1121.39,757.74
2016년04월27일,1720.54,1360.93,1121.33,757.15
2016년04월28일,1720.23,1361.33,1121.62,757.50
2016년04월29일,1720.20,1361.77,1122.50,757.84
2016년04월30일,1721.78,1362.67,1123.10,757.86
2016년05월01일,1720.88,1363.29,1123.54,757.59
2016년05월02일,1719.76,1363.37,1123.58,757.48
2016년05월03일,1731.48,1367.44,1128.24,758.24
2016년05월04일,1734.13,1369.30,1130.45,759.29
2016년05월05일,1736.94,1371.12,1132.32,760.04
2016년05월06일,1736.74,1372.22,1133.60,759.98
2016년05월07일,1736.67,1373.11,1134.67,759.69
2016년05월08일,1735.09,1373.62,1134.92,759.60
2016년05월09일,1736.77,1374.28,1136.36,759.51
2016년05월10일,1735.72,1375.30,1137.60,760.00
2016년05월11일,1736.28,1376.37,1138.90,760.12
2016년05월12일,1739.78,1378.20,1141.13,760.87
2016년05월13일,1740.53,1380.08,1144.06,761.13
2016년05월14일,1740.42,1381.95,1146.51,761.23
2016년05월15일,1741.42,1382.69,1147.53,761.47
2016년05월16일,1741.46,1384.07,1149.99,761.97
2016년05월17일,1745.23,1386.72,1154.25,763.20
2016년05월18일,1747.72,1389.21,1158.47,764.06
2016년05월19일,1750.56,1391.74,1162.42,764.51
2016년05월20일,1751.50,1394.34,1166.90,765.33
2016년05월21일,1753.16,1396.84,1170.37,765.66
2016년05월22일,1753.68,1398.06,1171.85,766.22
2016년05월23일,1753.27,1399.86,1175.31,767.47
2016년05월24일,1763.73,1404.27,1180.74,768.68
2016년05월25일,1768.84,1407.38,1185.69,769.80
2016년05월26일,1773.33,1410.44,1189.97,770.98
2016년05월27일,1774.13,1413.54,1194.28,772.15
2016년05월28일,1775.16,1415.85,1197.22,773.34
2016년05월29일,1775.46,1416.79,1198.23,774.20
2016년05월30일,1775.98,1418.34,1201.06,775.44
2016년05월31일,1778.66,1420.46,1204.04,776.31
2016년06월01일,1780.62,1424.12,1208.59,777.94
2016년06월02일,1782.14,1425.85,1210.95,779.38
2016년06월03일,1783.01,1427.54,1213.04,780.38
2016년06월04일,1783.73,1429.27,1214.69,781.21
2016년06월05일,1783.62,1430.04,1215.32,781.93
2016년06월06일,1785.29,1430.79,1216.25,782.76
2016년06월07일,1785.92,1431.82,1218.19,783.50
2016년06월08일,1784.88,1433.14,1219.88,784.73
2016년06월09일,1784.21,1434.56,1221.61,785.56
2016년06월10일,1785.11,1435.99,1223.24,786.37
2016년06월11일,1784.29,1437.02,1224.36,786.83
2016년06월12일,1782.73,1437.52,1224.67,786.92
2016년06월13일,1784.31,1438.34,1226.12,787.68
2016년06월14일,1785.61,1439.75,1227.97,788.57
2016년06월15일,1786.35,1440.58,1228.80,789.30
2016년06월16일,1786.06,1441.06,1229.47,789.89
2016년06월17일,1785.04,1441.35,1229.96,790.81
2016년06월18일,1786.06,1441.47,1230.07,791.04
2016년06월19일,1787.85,1441.66,1229.98,791.46
2016년06월20일,1788.05,1441.74,1230.54,791.30
2016년06월21일,1785.87,1441.91,1230.52,791.84
2016년06월22일,1785.29,1442.11,1230.79,792.10
2016년06월23일,1785.05,1442.25,1231.15,792.10
2016년06월24일,1784.50,1442.36,1231.23,792.28
2016년06월25일,1783.90,1442.42,1231.34,792.02
2016년06월26일,1783.71,1442.37,1231.16,792.46
2016년06월27일,1784.78,1442.56,1231.78,792.70
2016년06월28일,1786.50,1442.54,1231.82,792.32
2016년06월29일,1786.59,1442.63,1232.03,792.05
2016년06월30일,1787.39,1442.66,1232.11,792.35
2016년07월01일,1787.00,1442.78,1232.32,792.30
2016년07월02일,1787.67,1442.69,1232.08,791.81
2016년07월03일,1786.81,1442.70,1231.96,791.28
2016년07월04일,1786.72,1442.58,1232.22,791.26
2016년07월05일,1785.06,1442.61,1232.20,791.31
2016년07월06일,1784.49,1442.32,1232.17,791.80
2016년07월07일,1783.62,1442.17,1232.05,791.84
2016년07월08일,1784.08,1441.92,1231.97,791.89
2016년07월09일,1784.98,1441.65,1231.63,792.37
2016년07월10일,1785.36,1441.53,1231.39,792.40
2016년07월11일,1785.37,1441.24,1231.47,792.62
