,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1267,2019년 6월 21일,25.4,32.3,21.6,4.1,0.0,10.699999999999996
1268,2019년 6월 22일,23.7,29.4,19.7,6.0,0.0,9.7
1269,2019년 6월 23일,22.3,28.7,15.7,3.0,0.0,13.0
1270,2019년 6월 24일,24.2,31.1,17.7,5.1,0.1,13.400000000000002
1271,2019년 6월 25일,25.7,33.5,18.8,2.9,0.0,14.7
1272,2019년 6월 26일,20.6,23.8,18.5,9.6,36.5,5.300000000000001
1273,2019년 6월 27일,23.9,29.1,20.3,8.5,4.6,8.8
1274,2019년 6월 28일,25.1,30.1,23.1,8.0,0.1,7.0
1275,2019년 6월 29일,21.7,24.3,20.6,9.0,35.6,3.6999999999999993
1276,2019년 6월 30일,25.1,30.2,20.8,6.9,0.0,9.4
1277,2019년 7월 1일,23.4,27.0,19.6,6.5,0.0,7.399999999999999
1278,2019년 7월 2일,24.3,29.9,17.5,4.1,0.0,12.4
1279,2019년 7월 3일,23.2,28.5,18.9,5.9,0.0,9.6
1280,2019년 7월 4일,25.1,32.0,18.4,3.4,0.0,13.6
1281,2019년 7월 5일,26.0,33.2,20.0,4.3,0.0,13.200000000000005
1282,2019년 7월 6일,24.6,32.2,17.2,0.9,0.0,15.000000000000004
1283,2019년 7월 7일,23.4,28.5,19.2,7.5,0.0,9.3
1284,2019년 7월 8일,22.4,28.1,18.6,8.1,0.0,9.5
1285,2019년 7월 9일,21.8,26.0,17.5,7.0,0.0,8.5
1286,2019년 7월 10일,20.8,23.4,19.5,9.4,24.4,3.899999999999999
1287,2019년 7월 11일,23.4,28.0,19.9,7.6,3.3,8.100000000000001
1288,2019년 7월 12일,24.6,28.9,21.8,7.5,0.0,7.099999999999998
1289,2019년 7월 13일,24.1,29.1,20.2,7.1,0.0,8.900000000000002
1290,2019년 7월 14일,25.4,30.4,21.2,7.4,0.0,9.2
1291,2019년 7월 15일,22.6,27.1,20.4,8.5,13.3,6.700000000000003
1292,2019년 7월 16일,25.0,29.7,20.6,6.6,0.6,9.099999999999998
1293,2019년 7월 17일,25.1,29.4,21.4,8.4,0.0,8.0
1294,2019년 7월 18일,23.8,26.9,21.3,9.3,8.1,5.599999999999998
1295,2019년 7월 19일,24.6,26.7,22.0,9.6,0.9,4.699999999999999
1296,2019년 7월 20일,24.4,26.3,23.2,9.9,55.0,3.1000000000000014
1297,2019년 7월 21일,25.0,28.0,23.0,8.3,35.5,5.0
1298,2019년 7월 22일,27.1,32.8,22.4,6.0,0.0,10.4
1299,2019년 7월 23일,28.8,34.0,23.8,6.1,0.0,10.2
1300,2019년 7월 24일,27.1,30.2,25.0,7.8,0.0,5.199999999999999
1301,2019년 7월 25일,26.4,28.7,24.5,8.9,27.2,4.199999999999999
1302,2019년 7월 26일,27.9,31.8,25.3,7.6,0.5,6.5
1303,2019년 7월 27일,27.2,30.6,24.4,9.0,0.0,6.200000000000003
1304,2019년 7월 28일,27.4,30.8,25.0,8.4,5.3,5.800000000000001
1305,2019년 7월 29일,28.0,33.2,23.3,5.1,0.0,9.900000000000002
1306,2019년 7월 30일,29.0,34.6,23.4,3.5,0.0,11.200000000000005
1307,2019년 7월 31일,29.5,34.6,24.7,3.4,0.0,9.900000000000002
1308,2019년 8월 1일,29.4,34.6,25.1,3.3,0.0,9.5
1309,2019년 8월 2일,30.0,35.3,25.3,2.6,0.0,9.999999999999996
1310,2019년 8월 3일,29.0,35.2,25.5,5.6,0.0,9.700000000000005
1311,2019년 8월 4일,29.4,35.3,23.9,3.9,0.0,11.4
1312,2019년 8월 5일,30.1,35.9,25.1,5.0,0.0,10.799999999999995
1313,2019년 8월 6일,26.2,30.9,22.8,8.6,7.7,8.099999999999998
1314,2019년 8월 7일,27.6,33.8,23.5,5.4,9.8,10.299999999999995
1315,2019년 8월 8일,26.2,32.5,23.7,7.3,4.7,8.8
1316,2019년 8월 9일,28.0,34.1,23.6,7.5,0.0,10.5
1317,2019년 8월 10일,28.7,33.7,24.6,4.6,0.0,9.1
1318,2019년 8월 11일,29.1,34.0,24.8,7.9,0.0,9.2
1319,2019년 8월 12일,29.5,32.0,27.8,6.5,0.0,4.199999999999999
1320,2019년 8월 13일,29.7,34.6,24.5,4.3,0.0,10.1
1321,2019년 8월 14일,28.7,34.5,24.8,7.9,0.0,9.7
1322,2019년 8월 15일,25.7,28.5,24.3,8.0,9.6,4.199999999999999
1323,2019년 8월 16일,27.0,31.6,23.6,5.6,0.4,8.0
1324,2019년 8월 17일,27.1,32.9,21.1,3.8,0.0,11.799999999999995
1325,2019년 8월 18일,26.2,31.8,22.0,4.0,0.0,9.8
1326,2019년 8월 19일,25.7,30.8,20.2,6.8,0.0,10.6
1327,2019년 8월 20일,26.5,31.1,22.3,6.9,0.0,8.8
1328,2019년 8월 21일,25.3,29.8,21.6,8.6,48.8,8.2
1329,2019년 8월 22일,25.3,30.2,23.1,8.4,46.9,7.099999999999998
1330,2019년 8월 23일,25.0,29.4,21.9,7.3,0.0,7.5
1331,2019년 8월 24일,22.7,26.8,19.0,7.3,0.0,7.800000000000001
1332,2019년 8월 25일,23.2,29.6,18.3,3.6,0.0,11.3
1333,2019년 8월 26일,24.7,30.4,18.7,3.5,0.0,11.7
1334,2019년 8월 27일,21.8,23.6,19.9,9.0,17.5,3.700000000000003
1335,2019년 8월 28일,23.0,26.7,20.2,8.9,1.5,6.5
1336,2019년 8월 29일,22.3,25.5,19.6,9.4,0.0,5.899999999999999
1337,2019년 8월 30일,23.4,29.2,18.4,2.8,0.0,10.8
1338,2019년 8월 31일,22.6,28.4,17.6,5.0,0.0,10.799999999999995
1339,2019년 9월 1일,22.6,27.2,18.0,8.3,0.0,9.2
1340,2019년 9월 2일,20.4,22.1,19.3,8.5,13.3,2.8000000000000007
1341,2019년 9월 3일,21.5,23.3,19.7,10.0,4.3,3.6000000000000014
1342,2019년 9월 4일,23.4,25.9,21.7,10.0,7.0,4.199999999999999
1343,2019년 9월 5일,25.5,31.0,22.6,8.6,0.5,8.399999999999999
1344,2019년 9월 6일,26.2,29.3,23.3,9.4,0.0,6.0
1345,2019년 9월 7일,26.2,28.8,22.4,8.0,5.6,6.400000000000002
1346,2019년 9월 8일,24.7,29.4,20.5,8.8,0.0,8.899999999999999
1347,2019년 9월 9일,24.2,27.4,22.5,9.8,31.4,4.899999999999999
1348,2019년 9월 10일,26.7,31.5,22.7,5.8,0.0,8.8
1349,2019년 9월 11일,24.7,30.0,21.8,7.5,0.0,8.2
1350,2019년 9월 12일,20.4,23.2,18.4,8.1,3.9,4.800000000000001
1351,2019년 9월 13일,20.5,27.2,16.4,4.1,0.0,10.8
1352,2019년 9월 14일,22.0,27.8,15.9,6.0,0.0,11.9
1353,2019년 9월 15일,24.3,30.2,20.8,6.6,0.0,9.4
1354,2019년 9월 16일,22.0,28.3,17.8,4.4,0.0,10.5
1355,2019년 9월 17일,20.9,28.3,14.7,2.9,0.0,13.6
1356,2019년 9월 18일,22.0,29.3,16.9,2.8,0.0,12.400000000000002
1357,2019년 9월 19일,19.7,26.0,14.9,6.1,0.0,11.1
1358,2019년 9월 20일,18.9,22.7,15.7,9.4,0.0,7.0
1359,2019년 9월 21일,17.3,20.0,15.7,9.9,57.0,4.300000000000001
1360,2019년 9월 22일,17.1,18.3,15.6,10.0,96.4,2.700000000000001
1361,2019년 9월 23일,18.5,22.6,15.2,5.9,0.0,7.400000000000002
