,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1173,2019년 3월 19일,12.4,21.6,0.6,1.8,0.0,21.0
1174,2019년 3월 20일,11.8,19.4,3.6,8.8,5.5,15.799999999999999
1175,2019년 3월 21일,13.6,17.9,6.4,8.5,0.5,11.499999999999998
1176,2019년 3월 22일,7.5,14.0,3.3,6.3,0.0,10.7
1177,2019년 3월 23일,5.9,13.8,2.0,4.3,0.5,11.8
1178,2019년 3월 24일,6.5,13.9,-3.1,0.4,0.0,17.0
1179,2019년 3월 25일,9.2,16.4,0.7,4.8,0.0,15.7
1180,2019년 3월 26일,11.0,20.9,2.9,1.3,0.0,18.0
1181,2019년 3월 27일,13.2,23.7,0.2,3.9,0.0,23.5
1182,2019년 3월 28일,10.3,14.6,6.0,6.9,0.0,8.6
1183,2019년 3월 29일,11.6,19.5,4.4,6.5,0.0,15.1
1184,2019년 3월 30일,9.2,14.2,5.0,7.5,6.5,9.2
1185,2019년 3월 31일,7.0,12.2,3.6,4.6,0.0,8.6
1186,2019년 4월 1일,6.0,12.4,1.3,2.8,0.0,11.1
1187,2019년 4월 2일,7.1,15.2,-2.9,1.3,0.0,18.099999999999998
1188,2019년 4월 3일,8.5,16.5,-2.3,0.0,0.0,18.8
1189,2019년 4월 4일,12.9,21.6,5.0,1.8,0.0,16.6
1190,2019년 4월 5일,14.5,22.8,4.5,2.1,0.0,18.3
1191,2019년 4월 6일,15.0,23.9,7.7,0.0,0.0,16.2
1192,2019년 4월 7일,12.1,17.8,7.6,7.5,0.0,10.200000000000001
1193,2019년 4월 8일,11.3,22.1,1.8,2.4,0.0,20.3
1194,2019년 4월 9일,8.2,16.6,1.6,6.9,15.0,15.000000000000002
1195,2019년 4월 10일,8.3,11.1,4.8,8.0,9.5,6.3
1196,2019년 4월 11일,10.2,15.3,5.4,6.9,0.0,9.9
1197,2019년 4월 12일,11.4,19.9,4.4,4.0,0.0,15.499999999999998
