지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),평균 현지기압(hPa),최저 해면기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 중하층운량(1/10),일교차(°C)
부산,2016-01-01,5.3,1.1,10.9,0.0,11.4,7.4,4.3,33.0,52.1,1021.3,1027.5,11.44,1.4,0.0,9.8
부산,2016-01-02,8.1,4.6,12.2,0.0,11.0,7.2,4.0,52.0,62.9,1015.1,1020.6,6.86,4.6,2.3,7.6
부산,2016-01-03,11.4,7.9,16.6,0.0,8.7,5.5,2.7,45.0,68.3,1010.5,1017.3,10.02,1.5,0.0,8.700000000000001
부산,2016-01-04,10.4,7.6,15.2,0.0,9.2,6.4,2.7,27.0,46.3,1012.1,1017.7,9.34,0.8,0.0,7.6
부산,2016-01-05,5.3,3.2,8.1,0.2,8.7,5.6,3.1,19.0,40.9,1015.3,1022.3,2.19,7.0,3.8,4.8999999999999995
부산,2016-01-06,4.8,1.8,9.9,0.2,10.4,6.8,2.9,17.0,34.5,1013.5,1019.6,8.8,5.6,1.0,8.1
부산,2016-01-07,3.9,1.1,8.5,0.2,10.0,4.9,2.7,31.0,47.3,1013.1,1020.6,11.11,0.9,0.3,7.4
부산,2016-01-08,2.5,-0.5,6.9,0.2,12.9,5.9,2.9,31.0,44.1,1012.5,1019.6,11.6,0.8,0.8,7.4
부산,2016-01-09,3.8,-0.4,9.4,0.2,10.0,5.3,2.8,35.0,46.1,1015.1,1022.6,11.36,0.0,0.0,9.8
부산,2016-01-10,4.8,0.5,10.1,0.2,7.8,4.6,1.9,32.0,46.1,1016.3,1023.5,10.71,0.4,0.0,9.6
부산,2016-01-11,4.5,1.7,10.1,0.2,11.6,8.0,3.2,18.0,27.6,1014.5,1020.8,10.3,4.6,0.6,8.4
부산,2016-01-12,2.5,-0.9,7.9,0.2,13.0,7.5,4.0,15.0,26.4,1011.6,1018.3,12.12,1.1,0.0,8.8
부산,2016-01-13,1.5,-2.2,6.9,0.2,13.4,6.4,3.0,29.0,46.4,1010.3,1016.8,11.69,0.3,0.3,9.100000000000001
부산,2016-01-14,2.9,0.2,8.3,0.2,9.2,6.0,3.0,38.0,50.3,1012.3,1019.5,11.43,1.4,1.4,8.100000000000001
부산,2016-01-15,4.2,-0.5,10.6,0.2,6.6,3.7,1.6,32.0,45.6,1012.7,1019.3,10.14,0.0,0.0,11.1
부산,2016-01-16,5.7,2.3,10.4,0.2,7.0,3.9,1.2,42.0,50.9,1013.3,1020.4,4.78,6.4,6.4,8.100000000000001
부산,2016-01-17,6.6,5.1,10.3,14.2,9.3,5.5,3.2,49.0,77.4,1006.4,1008.9,1.73,9.5,7.3,5.200000000000001
부산,2016-01-18,2.3,-4.0,6.9,14.2,18.9,12.5,5.8,34.0,57.4,1001.1,1006.4,11.41,2.9,2.6,10.9
부산,2016-01-19,-3.1,-5.4,0.7,14.2,23.5,12.4,7.4,27.0,36.8,1008.3,1014.5,13.25,0.1,0.1,6.1000000000000005
부산,2016-01-20,-2.5,-6.6,2.0,14.2,13.4,8.5,4.0,28.0,36.1,1017.5,1021.5,11.09,2.8,0.0,8.6
부산,2016-01-21,-0.9,-3.5,3.3,14.2,13.0,7.9,3.8,21.0,29.9,1015.9,1022.5,5.93,6.8,3.1,6.8
부산,2016-01-22,0.8,-2.7,6.7,14.2,15.0,9.7,5.8,17.0,23.9,1017.7,1025.0,12.14,4.8,0.0,9.4
부산,2016-01-23,-2.9,-8.5,1.1,0.0,16.1,9.2,3.9,18.0,32.0,1016.7,1023.4,7.87,5.0,1.9,9.6
부산,2016-01-24,-7.6,-10.2,-4.2,0.0,16.3,9.5,4.2,23.0,45.4,1013.2,1018.5,13.4,1.9,1.9,5.999999999999999
부산,2016-01-25,-2.6,-8.2,2.4,0.0,13.0,5.8,3.2,33.0,44.8,1017.7,1024.4,13.5,0.0,0.0,10.6
부산,2016-01-26,1.4,-3.9,7.3,0.0,12.5,8.0,4.2,37.0,49.4,1017.7,1023.8,13.09,0.0,0.0,11.2
부산,2016-01-27,4.7,0.7,9.2,0.0,9.5,5.8,3.8,35.0,52.5,1020.5,1027.6,11.28,2.5,0.0,8.5
부산,2016-01-28,4.4,2.1,6.0,24.3,9.7,5.5,2.5,39.0,69.9,1018.5,1024.0,1.27,10.0,7.5,3.9
부산,2016-01-29,4.6,3.5,5.3,20.8,12.4,5.9,4.8,83.0,91.9,1013.3,1019.9,2.35,10.0,6.6,1.7999999999999998
부산,2016-01-30,6.1,4.5,8.7,20.8,11.0,6.0,3.6,68.0,78.6,1015.3,1021.1,4.73,6.8,6.5,4.199999999999999
부산,2016-01-31,3.8,1.4,7.0,20.8,10.1,6.8,3.3,38.0,62.6,1017.5,1023.8,9.46,3.3,0.1,5.6
부산,2016-02-01,1.7,-1.2,7.3,20.8,13.9,8.6,5.2,25.0,34.3,1016.5,1023.1,13.74,2.9,0.4,8.5
부산,2016-02-02,1.2,-4.0,7.9,20.8,13.5,8.9,4.6,24.0,30.8,1016.3,1023.4,14.25,0.8,0.6,11.9
부산,2016-02-03,1.9,-2.8,7.5,20.8,14.0,7.8,4.0,26.0,37.3,1017.1,1024.2,15.21,0.0,0.0,10.3
부산,2016-02-04,3.2,-0.8,7.3,20.8,10.1,5.0,2.6,30.0,41.0,1015.6,1021.8,11.15,3.9,0.0,8.1
부산,2016-02-05,4.1,0.3,10.1,20.8,10.4,5.7,2.8,17.0,29.4,1012.5,1019.2,14.73,0.6,0.0,9.799999999999999
부산,2016-02-06,2.4,-0.7,7.0,20.8,11.6,7.0,3.6,27.0,37.8,1012.2,1019.0,14.78,0.1,0.1,7.7
부산,2016-02-07,3.3,-1.7,9.4,20.8,11.3,7.4,3.0,33.0,43.6,1012.3,1019.1,14.26,4.0,4.0,11.1
부산,2016-02-08,4.5,-1.2,8.8,20.8,15.5,9.7,4.7,26.0,39.9,1009.0,1014.7,15.04,0.0,0.0,10.0
부산,2016-02-09,6.4,3.4,11.9,20.8,17.5,10.5,4.3,18.0,31.5,1011.6,1014.1,15.55,0.0,0.0,8.5
부산,2016-02-10,6.3,1.3,11.8,20.8,11.3,7.6,2.2,22.0,40.4,1018.0,1023.7,15.55,0.0,0.0,10.5
부산,2016-02-11,9.2,4.0,14.7,20.8,7.0,4.8,2.0,49.0,63.9,1018.7,1025.7,11.75,5.5,1.1,10.7
부산,2016-02-12,12.3,9.7,13.9,32.7,12.7,8.2,2.8,71.0,90.9,1012.3,1017.3,0.71,10.0,6.4,4.200000000000001
부산,2016-02-13,14.5,12.5,15.8,28.9,15.6,10.7,3.0,91.0,98.8,1000.6,1000.4,1.58,9.3,7.8,3.3000000000000007
부산,2016-02-14,6.7,-0.4,15.2,28.9,16.8,10.7,5.1,37.0,59.0,1001.3,1000.4,11.48,5.8,3.6,15.6
부산,2016-02-15,-0.4,-3.5,4.2,28.9,17.4,11.1,4.6,23.0,40.6,1009.6,1016.4,17.2,1.0,0.1,7.7
부산,2016-02-16,2.2,-2.3,6.3,28.9,14.4,9.5,5.7,39.0,52.3,1010.0,1015.6,15.25,2.6,2.6,8.6
부산,2016-02-17,3.9,-0.6,9.6,28.9,11.1,7.7,3.4,22.0,41.8,1015.2,1019.7,17.2,0.0,0.0,10.2
부산,2016-02-18,5.7,0.3,9.9,28.9,10.9,7.8,4.5,37.0,49.4,1015.2,1021.6,15.81,1.6,0.0,9.6
부산,2016-02-19,8.9,5.7,14.8,28.9,13.6,7.6,3.5,22.0,51.1,1017.2,1024.1,12.71,6.5,4.3,9.100000000000001
부산,2016-02-20,7.8,3.8,11.6,1.4,13.4,7.1,3.0,30.0,56.1,1011.4,1015.5,7.34,7.4,4.9,7.8
부산,2016-02-21,3.8,-0.2,8.9,1.4,12.5,6.8,3.0,23.0,33.0,1019.9,1021.7,17.92,1.0,0.0,9.1
부산,2016-02-22,6.6,3.1,10.4,1.4,6.9,4.9,2.5,34.0,44.4,1020.9,1027.3,8.91,10.0,5.8,7.300000000000001
부산,2016-02-23,7.9,3.9,12.8,1.4,9.7,5.4,2.8,26.0,37.4,1018.1,1024.2,14.19,6.5,0.9,8.9
부산,2016-02-24,3.0,-0.5,8.4,1.4,12.5,6.7,3.5,26.0,49.3,1021.0,1027.8,13.38,5.3,2.4,8.9
부산,2016-02-25,3.1,-2.1,8.8,1.4,14.6,8.2,3.6,18.0,34.9,1023.8,1031.1,17.98,0.0,0.0,10.9
부산,2016-02-26,6.1,1.3,10.6,1.4,11.7,7.4,4.0,37.0,52.4,1020.4,1026.1,13.93,4.9,4.4,9.299999999999999
부산,2016-02-27,10.6,7.4,15.6,1.4,13.2,7.7,4.4,28.0,54.1,1014.9,1021.9,15.65,2.6,2.3,8.2
부산,2016-02-28,10.1,6.5,15.2,0.7,21.2,13.5,4.4,51.0,70.0,1011.5,1015.0,11.18,4.6,2.0,8.7
부산,2016-02-29,1.1,-2.5,6.7,0.0,17.2,10.7,4.5,26.0,41.0,1014.4,1018.7,13.47,2.6,2.6,9.2
부산,2016-03-01,1.4,-4.3,7.7,0.0,13.4,6.3,3.4,20.0,38.8,1018.0,1024.2,19.02,0.0,0.0,12.0
부산,2016-03-02,6.3,0.1,11.4,0.0,10.1,7.4,3.9,22.0,42.0,1017.1,1023.5,18.64,0.0,0.0,11.3
부산,2016-03-03,11.4,5.9,17.2,0.0,10.6,8.1,4.7,41.0,62.4,1016.0,1023.2,18.37,1.3,0.4,11.299999999999999
부산,2016-03-04,11.5,10.6,12.4,35.7,6.3,3.4,1.9,74.0,96.9,1017.6,1024.0,1.12,10.0,7.1,1.8000000000000007
부산,2016-03-05,13.7,10.5,16.4,1.6,19.2,13.0,4.0,74.0,86.8,1014.2,1018.5,4.86,10.0,6.6,5.899999999999999
부산,2016-03-06,13.3,11.7,17.1,32.7,14.7,9.7,3.2,81.0,98.6,1009.4,1015.9,4.67,8.6,7.5,5.400000000000002
부산,2016-03-07,11.4,7.8,16.2,32.7,8.4,5.4,3.0,36.0,68.4,1010.0,1016.5,16.1,0.5,0.1,8.399999999999999
부산,2016-03-08,9.6,5.1,13.4,6.6,8.5,5.5,2.7,28.0,66.6,1010.9,1016.8,3.36,9.8,5.5,8.3
부산,2016-03-09,6.9,2.6,13.4,13.6,12.4,6.2,3.5,42.0,70.5,1010.6,1017.2,12.74,6.5,3.9,10.8
부산,2016-03-10,5.6,2.1,10.8,13.6,11.6,7.2,3.7,17.0,37.8,1013.4,1019.6,15.64,4.8,1.6,8.700000000000001
부산,2016-03-11,3.5,-0.8,10.0,13.6,15.1,7.9,3.8,23.0,41.5,1014.3,1021.0,20.99,0.0,0.0,10.8
부산,2016-03-12,5.1,0.7,10.3,13.6,11.5,7.5,3.3,23.0,35.9,1016.0,1023.2,20.71,2.1,0.0,9.600000000000001
부산,2016-03-13,7.6,5.2,10.7,13.6,6.0,4.1,1.6,29.0,44.6,1014.4,1020.6,6.62,9.5,6.0,5.499999999999999
부산,2016-03-14,7.7,4.1,14.3,13.6,10.2,6.3,3.1,36.0,57.8,1011.4,1018.0,13.06,2.3,1.8,10.200000000000001
부산,2016-03-15,8.2,3.2,12.3,13.6,7.5,5.4,2.9,34.0,49.5,1014.5,1021.5,19.67,3.3,0.0,9.100000000000001
부산,2016-03-16,11.2,7.3,16.2,13.6,9.5,7.1,3.6,26.0,45.9,1012.7,1019.0,17.65,4.1,0.0,8.899999999999999
부산,2016-03-17,12.6,7.8,16.9,13.6,9.5,7.1,3.0,33.0,57.4,1011.8,1017.6,19.35,3.6,1.0,9.099999999999998
부산,2016-03-18,12.7,11.5,13.4,38.7,6.8,4.3,1.9,55.0,97.9,1003.6,1008.8,1.0,9.5,7.4,1.9000000000000004
부산,2016-03-19,13.3,10.4,19.4,38.7,11.0,6.2,3.2,45.0,66.6,1005.4,1009.0,18.29,2.8,2.1,8.999999999999998
부산,2016-03-20,10.6,8.6,14.2,38.7,9.8,4.9,3.2,49.0,60.9,1013.1,1018.1,13.63,7.9,7.9,5.6
부산,2016-03-21,10.2,7.3,14.8,38.7,8.5,5.5,2.8,49.0,59.6,1014.9,1021.9,21.36,2.4,2.4,7.500000000000001
부산,2016-03-22,12.3,7.1,16.8,38.7,8.7,6.9,3.2,39.0,60.1,1009.2,1014.5,20.79,2.9,0.0,9.700000000000001
부산,2016-03-23,11.0,8.2,15.1,0.0,11.6,5.6,3.2,48.0,66.5,1009.3,1016.1,17.02,6.4,2.0,6.9
부산,2016-03-24,8.6,5.4,13.5,0.0,12.3,6.4,3.8,37.0,58.1,1014.7,1019.6,15.09,6.6,5.6,8.1
부산,2016-03-25,8.1,6.3,11.7,0.0,7.3,4.5,2.4,46.0,58.8,1015.8,1023.1,11.17,7.9,5.4,5.3999999999999995
부산,2016-03-26,7.4,5.6,11.1,4.6,7.4,4.7,1.8,63.0,78.0,1012.4,1019.5,8.05,6.0,4.9,5.5
부산,2016-03-27,9.5,4.3,16.2,4.6,11.2,7.8,3.7,26.0,58.3,1010.3,1016.9,19.68,1.6,0.9,11.899999999999999
부산,2016-03-28,11.8,6.7,18.3,4.6,12.8,7.9,4.4,21.0,41.6,1012.6,1019.9,21.93,0.0,0.0,11.600000000000001
부산,2016-03-29,13.3,10.1,16.3,4.6,16.5,10.5,6.1,37.0,57.8,1012.7,1019.3,13.21,5.1,0.0,6.200000000000001
부산,2016-03-30,15.0,12.4,19.6,4.6,12.0,7.5,3.7,45.0,64.3,1010.7,1017.5,19.2,4.4,0.0,7.200000000000001
부산,2016-03-31,14.8,11.1,19.3,4.6,6.6,4.8,1.9,43.0,69.9,1008.2,1014.4,14.32,4.5,0.0,8.200000000000001
부산,2016-04-01,16.1,11.0,22.0,4.6,8.4,4.6,2.0,34.0,59.6,1006.8,1012.8,21.92,0.0,0.0,11.0
부산,2016-04-02,15.1,11.4,18.8,4.6,9.8,6.9,2.9,60.0,76.9,1011.0,1017.8,15.39,4.3,0.5,7.4
부산,2016-04-03,14.2,11.5,18.0,0.9,9.5,5.4,2.6,76.0,86.8,1008.5,1013.5,3.56,9.8,6.0,6.5
부산,2016-04-04,11.7,10.5,13.6,3.8,9.3,4.6,2.9,71.0,84.5,1005.2,1011.2,4.5,9.5,7.5,3.0999999999999996
부산,2016-04-05,14.3,10.8,19.5,3.8,9.6,7.0,3.5,42.0,65.5,1007.3,1013.7,19.54,3.6,0.8,8.7
부산,2016-04-06,14.8,11.0,20.9,18.2,9.6,5.5,2.6,26.0,60.6,1008.3,1010.1,14.09,7.6,2.4,9.899999999999999
부산,2016-04-07,12.7,11.4,16.5,47.4,9.0,4.7,2.4,76.0,93.8,999.5,1002.5,5.53,9.0,5.0,5.1
부산,2016-04-08,16.5,12.4,21.7,47.4,9.2,6.6,2.8,32.0,61.8,1006.4,1013.2,20.66,3.4,1.0,9.299999999999999
부산,2016-04-09,17.2,13.1,22.6,47.4,10.0,6.4,2.8,33.0,50.6,1005.7,1011.8,22.1,4.0,0.3,9.500000000000002
부산,2016-04-10,15.6,11.3,18.9,47.4,9.7,5.3,3.0,33.0,58.8,1005.0,1011.0,18.7,5.1,1.4,7.599999999999998
부산,2016-04-11,10.5,9.1,14.0,0.0,10.8,5.4,3.6,50.0,65.5,1012.4,1016.0,11.3,7.0,5.5,4.9
부산,2016-04-12,12.5,8.0,15.9,0.0,7.4,4.7,2.3,52.0,64.3,1009.3,1013.3,17.7,7.1,1.6,7.9
부산,2016-04-13,14.6,14.0,16.0,14.8,9.0,5.7,2.0,75.0,93.9,999.8,1006.0,1.96,9.5,7.1,2.0
부산,2016-04-14,17.4,13.2,21.4,14.8,11.4,6.8,3.2,24.0,66.8,1002.0,1006.4,23.52,0.9,0.6,8.2
부산,2016-04-15,14.6,11.5,18.1,14.8,12.4,5.4,3.1,34.0,56.8,1012.3,1015.6,24.81,0.4,0.4,6.600000000000001
부산,2016-04-16,15.0,10.5,19.2,36.6,15.3,8.6,2.3,53.0,77.5,1003.1,998.3,10.56,8.1,4.6,8.7
부산,2016-04-17,16.5,13.4,20.9,8.0,24.0,15.1,7.8,27.0,49.3,996.8,993.0,25.65,3.1,1.3,7.499999999999998
부산,2016-04-18,15.2,12.9,19.2,8.0,15.9,9.9,5.4,24.0,41.5,1006.7,1012.5,15.91,5.5,3.9,6.299999999999999
부산,2016-04-19,14.9,12.5,19.9,8.0,14.1,9.5,3.6,28.0,54.1,1014.1,1016.9,25.47,0.0,0.0,7.399999999999999
부산,2016-04-20,15.4,11.2,20.5,8.0,8.1,5.7,2.3,31.0,64.9,1012.3,1016.4,22.57,5.3,3.5,9.3
부산,2016-04-21,15.5,14.0,18.4,31.8,10.0,5.7,2.5,63.0,92.1,997.6,1000.1,3.81,7.8,5.1,4.399999999999999
부산,2016-04-22,16.9,13.7,22.9,31.8,10.4,6.8,3.4,53.0,80.3,1001.2,1007.3,24.17,2.8,0.0,9.2
부산,2016-04-23,16.7,14.8,18.9,31.8,10.3,7.3,2.6,41.0,55.1,1004.0,1009.4,7.76,9.5,3.9,4.099999999999998
부산,2016-04-24,16.5,13.4,21.8,31.8,11.8,7.3,3.0,24.0,39.8,1006.6,1012.7,22.96,3.3,0.0,8.4
부산,2016-04-25,16.9,12.2,22.5,31.8,7.0,4.7,2.0,21.0,34.1,1009.3,1016.7,24.53,2.6,0.0,10.3
부산,2016-04-26,17.5,12.2,24.2,1.6,9.7,5.4,2.3,19.0,45.9,1007.4,1014.3,23.18,5.4,2.1,12.0
부산,2016-04-27,12.0,11.0,13.5,32.1,13.5,6.4,4.5,79.0,90.9,999.2,1003.8,3.73,10.0,7.4,2.5
부산,2016-04-28,13.3,11.1,16.1,3.3,13.0,6.1,2.5,49.0,76.9,998.9,1002.8,10.63,9.3,6.5,5.000000000000002
부산,2016-04-29,15.2,11.5,18.9,0.0,10.6,7.6,3.5,32.0,51.9,1005.0,1011.5,24.28,2.4,2.4,7.399999999999999
부산,2016-04-30,16.7,12.8,20.9,0.0,13.3,9.2,5.4,40.0,65.9,1005.5,1012.0,25.19,0.3,0.0,8.099999999999998
부산,2016-05-01,18.5,14.4,22.7,0.0,13.3,9.5,5.6,53.0,66.0,1007.3,1013.7,25.69,0.4,0.0,8.299999999999999
부산,2016-05-02,19.9,15.7,24.2,0.0,12.9,8.2,4.7,65.0,78.3,1007.0,1011.0,21.2,6.6,2.9,8.5
부산,2016-05-03,16.4,14.4,19.5,40.7,22.8,15.5,8.1,56.0,77.5,992.4,994.5,8.33,5.6,3.9,5.1
부산,2016-05-04,19.8,14.1,26.0,40.7,18.9,11.3,7.3,15.0,37.6,997.5,1003.0,26.1,0.0,0.0,11.9
부산,2016-05-05,19.0,14.3,25.0,40.7,9.7,6.6,3.6,22.0,46.3,1007.3,1011.6,22.05,6.1,1.1,10.7
부산,2016-05-06,17.3,15.9,19.2,4.7,12.0,7.2,3.1,66.0,93.4,1000.4,1005.5,3.73,9.0,7.1,3.299999999999999
부산,2016-05-07,20.0,16.1,25.2,4.7,12.2,6.9,3.0,28.0,55.6,1004.0,1007.3,22.8,4.1,0.0,9.099999999999998
부산,2016-05-08,19.2,16.2,23.1,4.7,7.5,4.3,2.5,32.0,41.9,1008.7,1014.8,19.19,6.5,1.0,6.900000000000002
부산,2016-05-09,18.6,16.1,22.3,0.0,5.5,3.4,1.6,44.0,64.9,1002.4,1008.4,9.72,10.0,6.9,6.199999999999999
부산,2016-05-10,15.1,13.1,17.2,22.3,10.9,5.4,2.6,85.0,92.8,996.5,1001.8,2.46,10.0,6.1,4.1
부산,2016-05-11,15.1,13.2,18.7,22.3,8.0,5.6,2.7,67.0,81.4,1001.9,1005.0,14.77,5.5,3.1,5.5
부산,2016-05-12,18.3,13.7,23.5,22.3,9.8,7.2,3.8,34.0,64.6,1006.3,1012.8,27.91,0.0,0.0,9.8
부산,2016-05-13,17.7,14.9,21.7,22.3,10.6,6.9,3.4,52.0,69.1,1011.7,1015.1,15.01,4.8,1.8,6.799999999999999
부산,2016-05-14,16.9,13.1,21.3,22.3,9.8,4.8,3.3,52.0,66.3,1014.6,1020.6,26.94,1.5,0.3,8.200000000000001
부산,2016-05-15,19.0,14.2,23.1,0.0,15.4,10.6,4.4,68.0,84.6,1004.5,1005.6,13.16,8.0,4.5,8.900000000000002
부산,2016-05-16,15.6,11.5,20.0,14.5,15.7,10.8,4.1,48.0,77.4,1001.0,1002.5,15.53,5.6,3.5,8.5
부산,2016-05-17,18.6,12.7,25.3,14.5,8.6,5.1,2.1,23.0,36.5,1007.4,1013.1,28.15,0.0,0.0,12.600000000000001
부산,2016-05-18,20.2,14.7,26.8,14.5,5.6,3.1,1.6,25.0,42.6,1009.8,1016.7,27.04,1.4,0.0,12.100000000000001
부산,2016-05-19,20.5,15.2,25.5,14.5,7.8,5.4,2.0,30.0,54.3,1010.1,1016.6,26.46,3.6,1.3,10.3
부산,2016-05-20,20.7,16.8,25.5,14.5,7.4,4.5,2.5,42.0,61.4,1010.0,1016.8,27.93,1.4,0.0,8.7
부산,2016-05-21,21.0,16.6,26.0,14.5,8.8,4.3,2.8,33.0,43.4,1010.4,1016.7,25.04,5.1,0.0,9.399999999999999
부산,2016-05-22,20.9,17.1,26.0,14.5,8.2,4.5,3.1,31.0,49.9,1008.9,1015.3,27.54,2.4,0.0,8.899999999999999
부산,2016-05-23,19.5,15.7,24.4,14.5,6.6,4.9,2.5,42.0,68.5,1006.1,1012.0,25.92,3.8,0.0,8.7
부산,2016-05-24,19.3,18.5,20.7,24.7,12.7,7.8,4.5,59.0,87.9,999.7,1004.6,2.55,9.5,5.4,2.1999999999999993
부산,2016-05-25,19.9,16.4,23.8,24.7,8.3,5.7,3.2,47.0,71.9,1001.6,1007.7,26.18,1.9,0.0,7.400000000000002
부산,2016-05-26,22.1,17.9,26.0,0.0,6.7,5.2,2.3,43.0,61.9,1001.3,1007.5,22.47,5.9,2.1,8.100000000000001
부산,2016-05-27,23.0,20.8,26.7,0.0,9.1,4.5,2.1,36.0,52.6,1003.1,1009.5,23.34,7.4,4.0,5.899999999999999
부산,2016-05-28,21.0,19.2,24.1,0.0,6.9,5.0,2.9,49.0,65.5,999.9,1006.0,11.96,5.8,4.1,4.900000000000002
부산,2016-05-29,20.0,17.9,25.4,1.9,7.4,5.7,2.6,46.0,75.4,995.9,1001.7,13.32,5.0,2.1,7.5
부산,2016-05-30,22.4,19.3,26.6,1.9,11.4,7.1,3.4,43.0,62.3,998.0,1002.5,26.6,0.4,0.0,7.300000000000001
부산,2016-05-31,23.8,17.8,30.5,1.9,8.6,5.9,2.9,32.0,55.1,998.4,1004.7,22.83,4.4,1.0,12.7
부산,2016-06-01,20.7,17.3,23.6,1.9,12.6,6.0,3.7,37.0,53.5,1000.2,1006.3,24.87,3.3,1.3,6.300000000000001
부산,2016-06-02,19.8,15.7,24.0,1.9,8.4,5.6,2.7,39.0,60.5,1003.2,1009.2,28.52,0.8,0.0,8.3
부산,2016-06-03,21.1,16.8,25.7,1.9,8.0,6.1,2.8,35.0,49.4,1003.2,1010.2,26.92,3.3,0.8,8.899999999999999
부산,2016-06-04,19.7,16.6,23.8,6.6,9.6,4.7,2.9,46.0,78.8,1001.2,1007.9,6.35,9.6,5.4,7.199999999999999
부산,2016-06-05,20.6,17.1,25.1,6.6,12.2,5.7,3.6,54.0,73.3,1002.4,1007.9,13.63,7.6,6.6,8.0
부산,2016-06-06,19.3,18.3,20.4,3.1,9.1,4.4,2.8,72.0,85.9,1004.9,1011.9,4.79,10.0,7.1,2.099999999999998
부산,2016-06-07,20.9,18.8,25.4,3.1,5.5,4.2,1.5,67.0,85.4,1002.6,1009.2,14.5,6.5,3.5,6.599999999999998
부산,2016-06-08,20.4,18.8,22.2,3.1,8.1,6.3,2.4,81.0,89.1,1001.8,1008.7,11.83,9.5,5.4,3.3999999999999986
부산,2016-06-09,21.9,19.6,26.1,3.1,7.6,4.6,2.3,66.0,80.3,1003.1,1009.8,15.02,8.4,3.8,6.5
부산,2016-06-10,22.3,20.1,25.3,3.1,7.8,5.3,2.6,64.0,78.0,1005.1,1012.0,25.9,3.1,2.0,5.199999999999999
부산,2016-06-11,23.1,20.1,26.6,3.1,8.3,6.2,2.8,62.0,80.6,1003.3,1010.0,20.14,5.8,0.6,6.5
부산,2016-06-12,22.4,21.1,24.1,8.6,5.6,3.4,1.3,81.0,91.9,998.1,1002.8,4.53,8.9,4.0,3.0
부산,2016-06-13,21.9,20.4,25.7,8.6,8.0,4.2,1.8,70.0,86.4,994.6,1001.3,17.45,7.8,4.0,5.300000000000001
부산,2016-06-14,21.1,20.1,24.2,8.6,5.3,3.6,2.0,71.0,87.3,996.6,1002.9,9.81,7.4,6.0,4.099999999999998
부산,2016-06-15,22.4,19.9,24.2,0.0,11.0,7.1,4.4,71.0,85.4,995.4,1000.9,10.33,8.6,6.1,4.300000000000001
부산,2016-06-16,23.6,21.7,26.4,1.5,9.5,6.3,4.0,63.0,81.4,991.2,997.0,12.91,8.4,4.5,4.699999999999999
부산,2016-06-17,22.9,19.3,28.6,1.5,10.8,7.9,3.4,42.0,67.6,1000.3,1002.3,27.19,1.0,0.0,9.3
부산,2016-06-18,22.4,19.1,25.5,2.8,10.5,7.1,4.3,64.0,80.5,1004.6,1010.9,25.08,5.1,1.4,6.399999999999999
부산,2016-06-19,23.9,21.0,28.6,9.1,10.5,6.8,3.8,68.0,88.4,1000.2,1006.0,20.41,6.4,4.3,7.600000000000001
부산,2016-06-20,23.9,21.1,28.7,10.2,9.1,6.2,3.0,66.0,88.1,998.8,1004.6,15.06,7.4,3.8,7.599999999999998
부산,2016-06-21,22.4,21.2,24.6,3.1,7.3,3.6,1.9,77.0,89.6,1000.1,1004.8,8.3,9.9,6.1,3.400000000000002
부산,2016-06-22,21.9,21.3,23.3,13.4,8.3,4.2,2.1,89.0,93.8,998.2,1003.7,3.64,10.0,7.0,2.0
부산,2016-06-23,23.5,20.6,26.6,13.4,7.0,4.7,2.1,61.0,79.3,998.9,1004.6,25.94,4.3,2.6,6.0
부산,2016-06-24,22.6,21.2,24.2,53.7,19.5,12.7,3.5,71.0,92.9,991.7,994.6,2.19,10.0,6.0,3.0
부산,2016-06-25,22.7,20.6,25.7,53.7,13.5,8.7,4.8,60.0,67.6,996.2,1000.9,16.29,5.0,1.0,5.099999999999998
부산,2016-06-26,23.3,19.6,28.6,53.7,10.8,7.2,3.8,45.0,70.9,1001.0,1006.6,26.18,0.3,0.3,9.0
부산,2016-06-27,20.5,19.3,23.4,0.2,8.7,6.1,2.7,71.0,93.0,1002.6,1009.3,8.0,8.8,5.5,4.099999999999998
부산,2016-06-28,22.1,18.8,25.3,0.0,7.5,5.0,1.9,56.0,72.6,1003.8,1009.8,14.59,8.8,5.1,6.5
부산,2016-06-29,21.8,20.1,25.1,2.9,5.9,3.8,2.0,73.0,86.3,1003.9,1010.8,10.18,8.5,6.4,5.0
부산,2016-06-30,23.3,20.3,27.2,2.9,11.2,7.6,3.8,71.0,84.0,1003.7,1010.4,20.19,6.3,4.0,6.899999999999999
부산,2016-07-01,23.0,22.2,24.0,31.9,21.2,13.4,6.4,85.0,94.9,1001.0,1006.2,3.09,9.3,6.8,1.8000000000000007
부산,2016-07-02,23.1,21.7,24.4,44.4,27.0,18.6,7.3,86.0,94.9,998.2,1003.8,4.48,10.0,6.8,2.6999999999999993
부산,2016-07-03,22.1,20.2,24.7,15.4,9.8,5.4,2.1,81.0,94.5,1002.2,1007.3,6.99,10.0,7.1,4.5
부산,2016-07-04,21.0,20.4,22.1,63.0,5.2,3.1,1.4,98.0,99.1,1003.8,1008.9,2.66,10.0,8.8,1.7000000000000028
