,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1163,2019년 3월 9일,6.4,17.9,-4.9,6.1,0.0,22.8
1164,2019년 3월 10일,6.6,10.4,1.2,8.4,3.5,9.2
1165,2019년 3월 11일,5.2,10.6,0.6,8.9,0.5,10.0
1166,2019년 3월 12일,4.4,10.9,-1.1,3.9,2.5,12.0
1167,2019년 3월 13일,2.2,8.8,-5.5,1.9,0.0,14.3
1168,2019년 3월 14일,4.2,12.2,-6.3,5.9,0.0,18.5
1169,2019년 3월 15일,5.8,11.9,0.5,6.8,5.0,11.4
1170,2019년 3월 16일,5.4,11.5,0.9,3.0,0.0,10.6
1171,2019년 3월 17일,5.9,13.2,-0.8,2.8,0.0,14.0
1172,2019년 3월 18일,5.7,16.0,-3.5,7.9,0.0,19.5
1173,2019년 3월 19일,9.0,19.4,-1.6,1.8,0.0,21.0
1174,2019년 3월 20일,10.8,17.6,2.5,8.8,13.0,15.1
1175,2019년 3월 21일,8.1,16.3,2.2,10.0,0.5,14.1
1176,2019년 3월 22일,3.6,10.3,-0.5,4.5,0.0,10.8
1177,2019년 3월 23일,1.6,10.0,-4.5,2.6,3.0,14.5
1178,2019년 3월 24일,2.7,10.2,-4.9,0.5,0.0,15.1
1179,2019년 3월 25일,5.4,14.6,-3.6,4.1,0.0,18.2
1180,2019년 3월 26일,8.1,18.8,-0.8,1.1,0.0,19.6
1181,2019년 3월 27일,13.5,22.0,3.1,5.6,0.0,18.9
1182,2019년 3월 28일,11.4,18.3,5.2,6.6,0.0,13.1
1183,2019년 3월 29일,11.0,18.1,4.1,6.1,0.0,14.000000000000002
1184,2019년 3월 30일,5.1,10.0,2.4,7.5,4.5,7.6
1185,2019년 3월 31일,4.3,8.7,1.9,4.9,0.5,6.799999999999999
1186,2019년 4월 1일,4.0,9.5,-3.2,3.1,0.0,12.7
1187,2019년 4월 2일,4.9,13.3,-4.3,0.3,0.0,17.6
1188,2019년 4월 3일,5.0,14.5,-4.2,0.0,0.0,18.7
1189,2019년 4월 4일,7.2,17.5,-3.8,1.1,0.0,21.3
1190,2019년 4월 5일,9.6,18.7,1.2,3.1,0.0,17.5
1191,2019년 4월 6일,11.0,21.7,-1.6,2.3,0.0,23.3
1192,2019년 4월 7일,13.5,21.0,6.9,6.3,0.0,14.1
1193,2019년 4월 8일,10.6,19.3,0.9,3.1,0.0,18.4
1194,2019년 4월 9일,9.4,16.1,4.3,7.9,31.0,11.8
1195,2019년 4월 10일,6.9,9.5,3.8,9.0,7.5,5.7
1196,2019년 4월 11일,9.1,15.2,2.9,7.0,0.0,12.3
1197,2019년 4월 12일,9.6,17.7,1.5,2.4,0.0,16.2
1198,2019년 4월 13일,9.8,19.1,0.6,6.0,0.0,18.5
1199,2019년 4월 14일,8.7,14.3,4.3,6.3,1.5,10.0
1200,2019년 4월 15일,9.1,19.4,-1.4,0.0,0.0,20.8
1201,2019년 4월 16일,12.1,23.4,-0.4,5.6,0.0,23.8
1202,2019년 4월 17일,14.9,23.6,6.7,4.9,0.0,16.900000000000002
1203,2019년 4월 18일,14.3,23.1,5.5,6.1,0.0,17.6
1204,2019년 4월 19일,14.2,19.3,10.5,8.4,0.0,8.8
1205,2019년 4월 20일,16.2,24.0,8.8,5.0,0.0,15.2
1206,2019년 4월 21일,17.1,21.5,13.3,8.9,0.0,8.2
1207,2019년 4월 22일,19.4,28.8,8.8,4.8,0.0,20.0
1208,2019년 4월 23일,16.9,22.1,13.9,9.8,14.5,8.200000000000001
1209,2019년 4월 24일,16.7,19.8,14.1,6.5,8.0,5.700000000000001
1210,2019년 4월 25일,14.8,17.7,11.2,7.4,4.0,6.5
1211,2019년 4월 26일,8.9,11.5,7.5,7.8,3.5,4.0
1212,2019년 4월 27일,11.5,17.5,4.6,7.8,0.0,12.9
1213,2019년 4월 28일,11.6,16.3,7.0,8.5,0.0,9.3
1214,2019년 4월 29일,8.9,10.9,4.6,7.4,23.0,6.300000000000001
1215,2019년 4월 30일,15.4,22.2,10.0,6.8,0.0,12.2
1216,2019년 5월 1일,14.4,21.6,9.4,3.8,0.0,12.2
1217,2019년 5월 2일,13.6,23.0,5.2,0.9,0.0,17.8
1218,2019년 5월 3일,15.5,27.5,3.5,0.4,0.0,24.0
1219,2019년 5월 4일,16.9,27.5,5.5,5.1,0.0,22.0
1220,2019년 5월 5일,18.1,27.2,9.3,3.9,0.0,17.9
1221,2019년 5월 6일,13.0,19.6,5.9,1.3,0.0,13.7
1222,2019년 5월 7일,12.4,21.7,1.2,0.0,0.0,20.5
1223,2019년 5월 8일,13.4,22.1,2.5,6.5,0.0,19.6
1224,2019년 5월 9일,14.9,23.6,6.2,5.4,0.0,17.400000000000002
1225,2019년 5월 10일,16.4,27.6,4.0,3.3,0.0,23.6
1226,2019년 5월 11일,18.3,28.4,8.0,1.4,0.0,20.4
1227,2019년 5월 12일,17.1,28.0,9.1,5.9,1.0,18.9
1228,2019년 5월 13일,17.9,28.1,8.2,7.0,0.0,19.9
1229,2019년 5월 14일,19.8,28.2,11.5,4.1,0.4,16.7
1230,2019년 5월 15일,20.7,29.2,13.7,5.4,0.0,15.5
1231,2019년 5월 16일,21.9,30.2,12.7,6.9,0.0,17.5
1232,2019년 5월 17일,21.7,28.2,14.4,8.3,0.1,13.8
1233,2019년 5월 18일,18.4,22.7,15.0,7.9,22.0,7.699999999999999
1234,2019년 5월 19일,19.8,24.3,16.9,8.9,0.4,7.400000000000002
1235,2019년 5월 20일,16.1,20.3,10.6,10.0,1.0,9.7
1236,2019년 5월 21일,16.1,23.6,5.4,0.0,0.0,18.200000000000003
1237,2019년 5월 22일,18.4,27.2,7.9,0.0,0.0,19.3
1238,2019년 5월 23일,20.1,29.6,9.6,0.9,0.0,20.0
1239,2019년 5월 24일,22.4,33.2,10.5,2.1,0.0,22.700000000000003
1240,2019년 5월 25일,21.6,30.6,13.7,7.9,0.0,16.900000000000002
1241,2019년 5월 26일,22.5,32.1,13.1,5.8,0.0,19.0
1242,2019년 5월 27일,17.4,23.3,13.1,10.0,18.5,10.2
1243,2019년 5월 28일,15.6,22.5,10.3,3.8,0.0,12.2
1244,2019년 5월 29일,17.7,27.0,7.2,0.4,0.0,19.8
1245,2019년 5월 30일,18.0,27.2,8.4,6.0,0.3,18.8
1246,2019년 5월 31일,17.7,24.0,12.7,4.5,0.5,11.3
1247,2019년 6월 1일,17.3,24.7,8.9,7.1,0.0,15.8
1248,2019년 6월 2일,19.6,27.6,10.9,3.1,0.0,16.700000000000003
1249,2019년 6월 3일,21.4,30.4,11.2,0.1,0.0,19.2
1250,2019년 6월 4일,22.3,31.1,14.1,2.0,0.0,17.0
1251,2019년 6월 5일,22.7,31.1,14.4,2.4,0.0,16.700000000000003
1252,2019년 6월 6일,21.4,29.1,15.8,9.0,11.5,13.3
1253,2019년 6월 7일,17.7,19.6,15.8,3.9,9.0,3.8000000000000007
1254,2019년 6월 8일,20.9,27.8,16.6,7.1,0.0,11.2
1255,2019년 6월 9일,20.9,27.6,16.9,6.5,16.5,10.700000000000005
1256,2019년 6월 10일,17.6,22.1,14.0,8.0,10.0,8.100000000000001
1257,2019년 6월 11일,19.2,25.4,14.9,5.6,0.0,10.499999999999998
1258,2019년 6월 12일,20.1,26.6,14.2,2.0,0.0,12.400000000000002
1259,2019년 6월 13일,22.0,29.9,13.6,4.1,0.0,16.299999999999997
1260,2019년 6월 14일,20.0,25.5,16.2,8.9,0.0,9.3
1261,2019년 6월 15일,20.2,27.5,14.4,4.3,0.0,13.1
1262,2019년 6월 16일,20.7,27.8,13.3,4.3,0.0,14.5
1263,2019년 6월 17일,21.2,27.5,15.7,6.8,0.0,11.8
1264,2019년 6월 18일,20.0,26.5,14.8,7.9,0.0,11.7
1265,2019년 6월 19일,21.1,27.0,17.6,6.0,0.0,9.4
1266,2019년 6월 20일,23.1,29.1,18.7,7.4,0.0,10.400000000000002
1267,2019년 6월 21일,22.6,28.8,17.6,3.5,0.0,11.2
1268,2019년 6월 22일,22.1,29.6,16.9,6.1,2.5,12.700000000000005
1269,2019년 6월 23일,21.9,28.3,17.6,3.3,0.0,10.7
1270,2019년 6월 24일,22.7,29.6,15.3,3.6,0.0,14.3
1271,2019년 6월 25일,24.1,32.6,15.2,3.6,0.0,17.400000000000002
1272,2019년 6월 26일,19.5,22.7,17.2,9.6,5.5,5.5
1273,2019년 6월 27일,23.3,29.3,19.4,7.8,6.0,9.900000000000002
1274,2019년 6월 28일,24.5,30.0,21.1,7.0,0.0,8.899999999999999
1275,2019년 6월 29일,20.7,22.3,20.3,8.8,40.0,2.0
1276,2019년 6월 30일,23.6,28.8,20.4,8.3,0.0,8.400000000000002
1277,2019년 7월 1일,22.5,26.3,17.8,6.5,0.0,8.5
1278,2019년 7월 2일,22.2,28.7,15.7,3.1,0.0,13.0
1279,2019년 7월 3일,21.4,28.5,15.4,5.1,0.0,13.1
1280,2019년 7월 4일,23.3,31.1,17.3,3.0,0.0,13.8
1281,2019년 7월 5일,24.8,33.9,17.6,3.8,0.0,16.299999999999997
1282,2019년 7월 6일,24.6,32.0,16.1,0.1,0.0,15.9
1283,2019년 7월 7일,22.8,28.3,17.6,6.1,0.5,10.7
1284,2019년 7월 8일,22.2,28.7,16.9,5.6,0.0,11.8
1285,2019년 7월 9일,22.4,27.3,15.6,5.0,0.0,11.7
1286,2019년 7월 10일,20.4,22.6,18.9,8.5,27.5,3.700000000000003
1287,2019년 7월 11일,20.8,24.2,18.7,7.1,4.0,5.5
1288,2019년 7월 12일,22.5,26.9,19.5,7.9,0.0,7.399999999999999
1289,2019년 7월 13일,22.4,28.6,18.2,8.4,0.0,10.400000000000002
1290,2019년 7월 14일,23.7,29.9,19.5,6.1,0.0,10.4
1291,2019년 7월 15일,22.5,28.6,19.6,6.9,1.0,9.0
1292,2019년 7월 16일,23.8,29.4,18.8,5.9,0.0,10.599999999999998
1293,2019년 7월 17일,24.7,30.0,20.4,8.4,0.0,9.6
1294,2019년 7월 18일,23.7,27.2,21.1,8.8,8.5,6.099999999999998
1295,2019년 7월 19일,25.0,28.4,21.7,8.8,0.5,6.699999999999999
1296,2019년 7월 20일,24.5,27.1,22.6,10.0,16.0,4.5
1297,2019년 7월 21일,24.3,27.2,21.7,8.1,46.5,5.5
1298,2019년 7월 22일,27.1,32.0,23.7,5.8,0.1,8.3
1299,2019년 7월 23일,27.5,32.6,23.7,6.9,0.5,8.900000000000002
1300,2019년 7월 24일,26.7,29.3,24.9,8.3,0.0,4.400000000000002
1301,2019년 7월 25일,26.3,30.7,23.9,9.0,22.5,6.800000000000001
1302,2019년 7월 26일,26.3,30.3,24.4,8.9,6.5,5.900000000000002
1303,2019년 7월 27일,26.8,29.9,23.6,7.9,3.0,6.299999999999997
1304,2019년 7월 28일,26.1,28.6,23.6,8.6,4.0,5.0
1305,2019년 7월 29일,26.9,33.2,22.0,5.0,0.0,11.200000000000005
1306,2019년 7월 30일,28.0,33.3,22.3,4.3,0.0,10.999999999999996
1307,2019년 7월 31일,28.9,33.7,25.4,5.3,0.0,8.300000000000004
1308,2019년 8월 1일,28.3,33.8,23.4,4.5,0.0,10.4
1309,2019년 8월 2일,28.4,34.7,22.9,4.1,0.0,11.800000000000004
1310,2019년 8월 3일,27.8,34.6,23.8,7.0,0.0,10.8
1311,2019년 8월 4일,28.8,36.1,23.4,3.8,0.1,12.700000000000005
1312,2019년 8월 5일,28.8,35.5,24.5,4.8,0.2,11.0
1313,2019년 8월 6일,27.4,31.1,22.8,8.5,0.0,8.3
1314,2019년 8월 7일,27.4,32.6,22.7,6.6,11.5,9.900000000000002
1315,2019년 8월 8일,26.3,32.5,23.9,7.4,1.0,8.600000000000001
1316,2019년 8월 9일,27.9,34.2,23.8,6.8,1.0,10.400000000000002
1317,2019년 8월 10일,28.5,34.7,23.1,4.9,0.0,11.6
1318,2019년 8월 11일,29.3,33.5,23.9,7.3,0.0,9.6
1319,2019년 8월 12일,28.4,31.4,25.3,6.9,0.5,6.099999999999998
1320,2019년 8월 13일,28.8,35.5,22.4,4.0,0.0,13.1
1321,2019년 8월 14일,28.7,34.0,23.2,6.4,0.0,10.8
1322,2019년 8월 15일,24.7,28.5,23.4,7.8,1.5,5.100000000000001
1323,2019년 8월 16일,25.3,30.2,21.8,4.6,5.0,8.399999999999999
1324,2019년 8월 17일,25.6,30.6,20.2,4.1,1.0,10.400000000000002
1325,2019년 8월 18일,23.9,30.5,19.4,2.6,0.0,11.1
1326,2019년 8월 19일,24.4,32.7,17.5,5.4,0.0,15.200000000000005
1327,2019년 8월 20일,25.7,32.0,19.9,4.6,0.0,12.1
1328,2019년 8월 21일,25.2,31.6,20.5,7.8,10.0,11.1
1329,2019년 8월 22일,25.1,31.2,20.3,7.0,57.0,10.9
1330,2019년 8월 23일,23.3,29.3,18.5,4.5,0.0,10.8
1331,2019년 8월 24일,21.0,26.7,16.7,6.9,0.0,10.0
1332,2019년 8월 25일,22.6,29.4,17.1,4.5,0.0,12.299999999999995
1333,2019년 8월 26일,23.6,31.2,16.7,5.4,0.0,14.5
1334,2019년 8월 27일,21.1,23.3,18.9,8.8,14.5,4.400000000000002
1335,2019년 8월 28일,22.7,27.5,19.9,8.0,1.5,7.600000000000001
1336,2019년 8월 29일,21.6,27.4,18.7,8.9,0.5,8.7
1337,2019년 8월 30일,21.8,28.2,17.2,4.3,0.5,11.0
1338,2019년 8월 31일,21.3,28.3,15.0,3.8,0.0,13.3
1339,2019년 9월 1일,21.7,27.5,16.2,8.4,0.0,11.3
1340,2019년 9월 2일,20.3,23.4,18.8,8.6,24.0,4.599999999999998
1341,2019년 9월 3일,21.1,23.2,19.1,10.0,2.0,4.099999999999998
1342,2019년 9월 4일,23.3,27.6,20.7,9.9,3.5,6.900000000000002
1343,2019년 9월 5일,23.4,29.3,21.5,9.5,46.0,7.800000000000001
1344,2019년 9월 6일,24.8,27.8,20.9,9.6,0.3,6.900000000000002
1345,2019년 9월 7일,24.8,29.3,22.1,8.3,6.0,7.199999999999999
1346,2019년 9월 8일,24.0,29.0,20.4,9.1,1.0,8.600000000000001
1347,2019년 9월 9일,23.2,25.6,20.2,9.1,10.5,5.400000000000002
1348,2019년 9월 10일,25.6,31.3,21.5,5.1,0.0,9.8
1349,2019년 9월 11일,24.7,29.5,22.3,6.6,0.0,7.199999999999999
1350,2019년 9월 12일,19.1,22.6,16.5,6.8,18.5,6.100000000000001
1351,2019년 9월 13일,20.5,27.7,14.3,2.6,0.0,13.4
1352,2019년 9월 14일,21.8,28.1,16.1,8.1,0.0,12.0
1353,2019년 9월 15일,24.3,30.7,21.0,7.4,0.0,9.7
1354,2019년 9월 16일,22.5,28.6,17.1,4.8,0.0,11.5
1355,2019년 9월 17일,20.0,27.9,13.0,1.9,0.0,14.9
1356,2019년 9월 18일,19.6,28.5,11.4,2.1,0.0,17.1
1357,2019년 9월 19일,17.0,25.9,8.8,4.0,0.0,17.099999999999998
1358,2019년 9월 20일,17.6,21.0,14.0,9.8,0.0,7.0
1359,2019년 9월 21일,16.5,19.6,15.0,9.9,49.0,4.600000000000001
1360,2019년 9월 22일,16.3,17.7,15.0,9.7,75.5,2.6999999999999997
1361,2019년 9월 23일,16.9,21.4,12.4,6.6,0.1,8.999999999999998
1362,2019년 9월 24일,16.3,24.6,11.7,3.1,0.0,12.900000000000002
1363,2019년 9월 25일,17.0,24.0,11.2,7.8,0.0,12.8
1364,2019년 9월 26일,18.9,25.0,14.8,7.9,0.0,10.2
1365,2019년 9월 27일,20.8,28.9,13.7,4.8,0.0,15.2
1366,2019년 9월 28일,22.2,28.7,17.5,5.9,0.0,11.2
1367,2019년 9월 29일,20.8,28.4,15.7,3.0,0.0,12.7
1368,2019년 9월 30일,20.3,28.9,14.2,4.5,0.0,14.7
1369,2019년 10월 1일,20.0,23.5,16.5,9.3,0.0,7.0
1370,2019년 10월 2일,19.7,20.8,18.9,10.0,75.5,1.900000000000002
1371,2019년 10월 3일,21.0,26.7,17.3,6.6,8.0,9.4
1372,2019년 10월 4일,21.5,27.3,17.4,7.5,0.0,9.900000000000002
1373,2019년 10월 5일,18.3,21.0,15.6,8.0,0.0,5.4
1374,2019년 10월 6일,16.7,21.2,13.2,7.6,0.0,8.0
1375,2019년 10월 7일,14.3,15.3,13.1,9.3,14.5,2.200000000000001
1376,2019년 10월 8일,14.1,21.6,6.1,4.3,0.0,15.500000000000002
1377,2019년 10월 9일,10.3,20.6,3.3,2.6,0.0,17.3
1378,2019년 10월 10일,12.7,20.9,6.2,7.1,0.0,14.7
1379,2019년 10월 11일,15.8,24.5,9.7,2.6,0.0,14.8
1380,2019년 10월 12일,16.8,24.0,10.2,1.6,0.0,13.8
1381,2019년 10월 13일,13.9,22.2,6.9,2.6,0.0,15.3
1382,2019년 10월 14일,12.6,21.2,6.8,4.1,0.0,14.4
1383,2019년 10월 15일,11.7,19.6,5.1,4.4,0.0,14.500000000000002
1384,2019년 10월 16일,11.7,20.9,6.2,5.1,0.0,14.7
1385,2019년 10월 17일,12.2,19.5,7.3,7.6,0.0,12.2
1386,2019년 10월 18일,13.4,19.2,7.2,7.4,0.5,12.0
1387,2019년 10월 19일,14.3,22.1,9.1,3.4,0.0,13.000000000000002
1388,2019년 10월 20일,12.8,22.5,7.7,3.5,0.0,14.8
1389,2019년 10월 21일,12.6,22.7,5.7,5.4,0.0,17.0
1390,2019년 10월 22일,13.4,23.0,6.6,3.6,0.0,16.4
1391,2019년 10월 23일,13.6,18.3,9.4,9.8,0.0,8.9
1392,2019년 10월 24일,16.0,21.3,11.1,7.1,0.0,10.2
1393,2019년 10월 25일,14.8,22.2,8.3,6.5,0.1,13.9
1394,2019년 10월 26일,11.6,16.1,7.5,6.9,0.2,8.600000000000001
1395,2019년 10월 27일,7.7,16.2,2.1,1.0,0.0,14.1
1396,2019년 10월 28일,8.7,19.1,1.4,4.9,0.0,17.700000000000003
1397,2019년 10월 29일,12.2,17.9,7.0,3.6,0.5,10.9
1398,2019년 10월 30일,8.4,17.9,2.5,2.1,0.0,15.4
1399,2019년 10월 31일,10.1,20.1,2.2,4.6,0.0,17.900000000000002
1400,2019년 11월 1일,11.7,22.1,6.0,5.1,0.0,16.1
1401,2019년 11월 2일,10.3,19.5,2.9,7.8,0.0,16.6
1402,2019년 11월 3일,11.8,20.2,7.3,5.0,0.0,12.9
1403,2019년 11월 4일,10.4,19.8,4.2,3.0,0.0,15.6
1404,2019년 11월 5일,9.7,18.8,5.2,3.5,0.0,13.6
1405,2019년 11월 6일,9.2,18.7,3.9,7.6,0.0,14.8
1406,2019년 11월 7일,8.8,16.7,2.1,4.1,0.0,14.6
1407,2019년 11월 8일,3.9,14.2,-2.5,0.9,0.0,16.7
1408,2019년 11월 9일,4.9,16.5,-3.2,0.1,0.0,19.7
1409,2019년 11월 10일,7.5,17.7,-0.9,8.3,14.0,18.6
1410,2019년 11월 11일,11.2,16.7,6.3,6.3,3.5,10.4
1411,2019년 11월 12일,7.0,16.5,2.0,4.9,0.0,14.5
1412,2019년 11월 13일,6.6,14.2,0.9,8.6,4.5,13.3
1413,2019년 11월 14일,1.9,7.1,-3.2,1.1,0.0,10.3
1414,2019년 11월 15일,7.3,15.7,-4.4,3.3,0.0,20.1
1415,2019년 11월 16일,11.4,18.1,5.7,4.8,0.0,12.400000000000002
1416,2019년 11월 17일,9.7,19.1,4.5,8.8,8.0,14.6
1417,2019년 11월 18일,6.9,18.8,2.2,7.6,17.0,16.6
1418,2019년 11월 19일,1.9,7.2,-2.7,4.1,0.0,9.9
1419,2019년 11월 20일,0.0,8.4,-5.1,0.0,0.0,13.5
1420,2019년 11월 21일,2.5,12.9,-6.0,5.9,0.0,18.9
1421,2019년 11월 22일,6.8,18.1,-1.2,1.4,0.0,19.3
1422,2019년 11월 23일,8.3,19.7,-0.4,7.0,0.0,20.1
