,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
586,2017년 8월 9일,24.6,26.2,22.4,0.0,0.8,3.8000000000000007
587,2017년 8월 10일,26.6,33.3,23.1,0.0,1.6,10.199999999999996
588,2017년 8월 11일,25.3,31.2,21.4,0.0,0.3,9.8
589,2017년 8월 12일,25.2,30.6,20.7,0.0,0.0,9.900000000000002
590,2017년 8월 13일,22.5,26.0,19.4,0.0,1.5,6.600000000000001
591,2017년 8월 14일,21.1,22.1,20.2,0.0,50.2,1.9000000000000021
592,2017년 8월 15일,21.8,23.1,20.5,0.0,14.9,2.6000000000000014
593,2017년 8월 16일,25.1,29.8,22.3,0.0,3.7,7.5
594,2017년 8월 17일,24.9,30.8,22.5,0.0,9.1,8.3
595,2017년 8월 18일,24.9,31.1,21.6,0.0,0.0,9.5
596,2017년 8월 19일,23.3,29.4,20.7,0.0,32.9,8.7
597,2017년 8월 20일,23.6,26.6,22.0,0.0,9.4,4.600000000000001
598,2017년 8월 21일,24.4,29.6,21.9,0.0,29.1,7.700000000000003
599,2017년 8월 22일,25.5,31.3,21.6,0.0,0.4,9.7
600,2017년 8월 23일,27.2,33.7,23.0,0.0,0.0,10.700000000000003
601,2017년 8월 24일,28.4,32.6,23.5,0.0,0.0,9.100000000000001
602,2017년 8월 25일,25.5,32.4,19.0,0.0,2.5,13.399999999999999
603,2017년 8월 26일,21.5,29.4,15.2,0.0,0.0,14.2
604,2017년 8월 27일,21.0,29.5,13.2,0.0,0.0,16.3
605,2017년 8월 28일,23.6,30.4,16.0,0.0,0.0,14.399999999999999
606,2017년 8월 29일,23.4,29.8,16.5,0.0,2.8,13.3
607,2017년 8월 30일,18.9,24.1,15.2,0.0,0.0,8.900000000000002
608,2017년 8월 31일,19.9,27.6,11.9,0.0,0.0,15.700000000000001
609,2017년 9월 1일,19.5,27.6,13.6,0.0,0.0,14.000000000000002
610,2017년 9월 2일,18.0,25.1,11.4,0.0,0.0,13.700000000000001
611,2017년 9월 3일,18.8,26.4,11.1,0.0,0.0,15.299999999999999
612,2017년 9월 4일,19.5,26.5,13.7,0.0,0.0,12.8
613,2017년 9월 5일,18.3,20.1,15.2,0.0,5.3,4.900000000000002
614,2017년 9월 6일,19.4,23.6,16.3,0.0,13.5,7.300000000000001
615,2017년 9월 7일,20.4,27.3,16.3,0.0,0.5,11.0
616,2017년 9월 8일,20.0,28.5,15.1,0.0,0.0,13.4
617,2017년 9월 9일,20.1,29.0,14.5,0.0,0.0,14.5
618,2017년 9월 10일,20.6,27.4,16.3,0.0,0.0,11.099999999999998
619,2017년 9월 11일,19.4,22.5,17.6,0.0,74.8,4.899999999999999
620,2017년 9월 12일,20.7,28.6,15.4,0.0,0.0,13.200000000000001
621,2017년 9월 13일,17.9,27.4,10.9,0.0,0.0,16.5
622,2017년 9월 14일,17.9,26.2,9.5,0.0,0.0,16.7
623,2017년 9월 15일,18.3,23.8,13.1,0.0,0.0,10.700000000000001
